丶		<table><tr><td>zhu3</td><td>"dot" radical in Chinese characters (Kangxi radical 3) / see also 點|点[dian3]</td></tr></table>	太书火雨自白步方主心之术血压户丽永尤义夜龙良玉凡勺州乌斥寸丸犬卜甫囱氐宀亠⺀亽礻	<div>This character shall be represented by a petal leaf when appearing in other characters.</div><div>George Giant Squid is trying out two petal leafs as eyebrows in the space station.</div>	HSK7
丿		<table><tr><td>pie3</td><td>radical in Chinese characters (Kangxi radical 4) / see 撇[pie3]</td></tr></table>	人么儿水系少九八长向身非步千介力才必乎入广毛皮齐刀币升乡乏亦井丘卑勿乃乔戈尹夭匕禾卯壬攵乇彡亻勹彳夂廾乂⺁⺹⺧衤𠂤釆	<div>Pocahontas (pi-) is watching a giant banana (丿) inside the Erectheion (-e3).</div>	HSK7
一		<table><tr><td>yi1</td><td>one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / "one" radical in Chinese characters (Kangxi radical 1)</td></tr></table>	在大生子下年天本开日十三二再九七兴已正两百鱼妻丈应或才直马且干画练末炼无至士具亚微互丽王未武土革灭丝丁旦丙寸歹曰兀廿寅戌卅孑爰隹佥尢戋亼廾卄畐亠帀䒑𠮛朩㇆⺊覀	<div>Maud Younger (y) plays her flute (一) in front of the space station (Ø1). </div>	HSK1
亅		<table><tr><td>jue2</td><td>"vertical stroke with hook" radical in Chinese characters (Kangxi radical 6) / see also 豎鉤|竖钩[shu4 gou1]</td></tr></table>	了小水事于才乎卫丁予寸韦刂扌亍㇆	<div>Doesn't 亅 look like a crowbar? Zeus (ju-) shows off his mighty crowbars (亅) in the entrance of the Erechtheion (-e2).</div>	HSK7
㇆	㇆ = 一 + 亅	<table><tr><td>xx5</td><td>A stroke without inherent meaning</td></tr></table>	书习也司力万刀勹冂卩㔾	<div>A flute and a crowbar are forming a plough.</div>	HSK7
勹	勹 = 丿 + ㇆	<table><tr><td>bao1</td><td>archaic variant of 包[bao1]</td></tr></table>	包久句勺勾勿匍匃匋	<div>This one looks like an elephant. Beelzebub rides an elephant in front of the Taos Pueblo, turning the soil with a plough. Lots of bananas show up from the earth.</div>	HSK7
勺	勺 = 丶 + 勹	<table><tr><td>shao2</td><td>spoon / ladle / CL:把[ba3] / abbr. for 公勺[gong1 shao2], centiliter (unit of volume)</td></tr></table>	的约	<div>As this character should not be confused with 匕, this character will be represented by a small silver spoon.</div><div>Sherlock Holmes feeds an elephant some medicine just inside the entrance of the Taos Pueblo. The medicine looks like a petal leaf, and Sherlock Holmes uses a small silver spoon to give the elephant its medicine.</div>	HSK5
囗		<table><tr><td>wei2</td><td>enclosure</td></tr></table>	国日西回四因黑目图园围困圆团曾田临固曲曰囱囬	<div>Finally, Willy Walrus (wu-) is just inside the entrance of the Eiffel Tower (-ei2). He smuggled himself in sitting in a large wooden box (囗).</div>	HSK7
日	日 = 囗 + 一	<table><tr><td>ri4</td><td>sun / day / date, day of the month / abbr. for 日本 Japan</td></tr></table>	是时明星昨间最白早晚晴者更复易音普阳香旧春景暗替厚映暂暖显智旦鲁昏昌旨昔昭酉亘艮杲曷昷	<div>The space station has become too close to the sun. In the bathroom, Robinson Crusoe is hiding from the sun with the help of a wooden box full of flutes.</div>	HSK1
白	白 = 丶 + 日	<table><tr><td>bai2</td><td>surname Bai</td></tr><tr><td>bai2</td><td>white / snowy / pure / bright / empty / blank / plain / clear / to make clear / in vain / gratuitous / free of charge / reactionary / anti-communist / funeral / to stare coldly / to write wrong character / to state / to explain / vernacular / spoken lines in opera</td></tr></table>	的百怕皇伯卑敫	<div>A white flag. Beelzebub is waving with a white flag just inside the entrance of the palace - the sun is attacking him with a big petal leaf.</div>	HSK2
