Ich wäre so gern...	Ich wäre so gern...	Ich wäre so gern...	I would be so happy ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>wäre</td><td></td><td>would</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>gern...</td><td></td><td>like ...</td></tr></table>	[sound:lola-000116000-000118000.mp4]
Der Mensch...	Der Mensch...	Der Mensch...	Man ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Der</td><td></td><td>the</td></tr><tr><td>Mensch...</td><td>hominal </td><td>Man ...</td></tr></table>	[sound:lola-000128007-000130277.mp4]
Die wohl geheimnisvollste Spezies unseres Planeten.	Die wohl geheimnisvollste Spezies unseres Planeten.	Die wohl geheimnisvollste Spezies unseres Planeten.	Probably the most mysterious species on our planet.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Die</td><td></td><td>the</td></tr><tr><td>wohl</td><td>arguably [probably] // doubtless  [admittedly] // indeed // perhaps // possibly // probably // to be sure // well </td><td>probably</td></tr><tr><td>geheimnisvollste</td><td>most mysterious </td><td>mysterious</td></tr><tr><td>Spezies</td><td></td><td>species</td></tr><tr><td>unseres</td><td></td><td>our</td></tr><tr><td>Planeten.</td><td></td><td>Planet.</td></tr></table>	[sound:lola-000130347-000134507.mp4]
Ein Mysterium offener Fragen...	Ein Mysterium offener ___	Ein Mysterium offener <span class="learn">Fragen...</span>	A mystery of open questions ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ein</td><td></td><td>one</td></tr><tr><td>Mysterium</td><td></td><td>mystery</td></tr><tr><td>offener</td><td>more open </td><td>open</td></tr><tr><td>Fragen...</td><td></td><td>Questions ...</td></tr></table>	[sound:lola-000134578-000137708.mp4]
Wer sind wir? Woher kommen wir? Wohin gehen wir?	___ ___ ___ ___ ___ ___ Wohin ___ ___	<span class="learn">Wer</span> <span class="learn">sind</span> <span class="learn">wir?</span> <span class="learn">Woher</span> <span class="learn">kommen</span> <span class="learn">wir?</span> Wohin <span class="learn">gehen</span> <span class="learn">wir?</span>	Who are we? Where did we come from? Where are we going ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Wer</td><td></td><td>Who</td></tr><tr><td>sind</td><td></td><td>are</td></tr><tr><td>wir?</td><td></td><td>we ?</td></tr><tr><td>Woher</td><td></td><td>Where</td></tr><tr><td>kommen</td><td>to come // to grow in [teeth] </td><td>come</td></tr><tr><td>wir?</td><td></td><td>we ?</td></tr><tr><td>Wohin</td><td></td><td>where</td></tr><tr><td>gehen</td><td>to ambulate // to fare [archaic] [to go, travel] // to go // to pace // to walk </td><td>move</td></tr><tr><td>wir?</td><td></td><td>we ?</td></tr></table>	[sound:lola-000137788-000143668.mp4]
Woher wissen wir, was wir zu wissen glauben?	___ ___ ___ was ___ zu ___ glauben?	<span class="learn">Woher</span> <span class="learn">wissen</span> <span class="learn">wir,</span> was <span class="learn">wir</span> zu <span class="learn">wissen</span> glauben?	How do we know what we think we know ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Woher</td><td></td><td>Where</td></tr><tr><td>wissen</td><td>to be aware of // to ken [Scot.] // to know // to weet [archaic] [to know] </td><td>know</td></tr><tr><td>wir,</td><td></td><td>we</td></tr><tr><td>was</td><td>what // which </td><td>what</td></tr><tr><td>wir</td><td>we </td><td>we</td></tr><tr><td>zu</td><td>anent [esp. Scot.] [archaic] // at // for // to // toward // towards // unto  [archaic / literary] </td><td>to</td></tr><tr><td>wissen</td><td>to be aware of // to ken [Scot.] // to know // to weet [archaic] [to know] </td><td>know</td></tr><tr><td>glauben?</td><td></td><td>believe ?</td></tr></table>	[sound:lola-000143669-000147099.mp4]
Wieso glauben wir überhaupt etwas?	___ glauben ___ ___ etwas?	<span class="learn">Wieso</span> glauben <span class="learn">wir</span> <span class="learn">überhaupt</span> etwas?	Why do we believe anything at all?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Wieso</td><td></td><td>Why</td></tr><tr><td>glauben</td><td>to credit [believe] // to trow [archaic] [believe] </td><td>believe</td></tr><tr><td>wir</td><td>we </td><td>we</td></tr><tr><td>überhaupt</td><td>absolutely // after all // altogether // anyway // at all [in negative contexts] // even  [used as intensive to indicate something unexpected] // ever // generally </td><td>at all</td></tr><tr><td>etwas?</td><td></td><td>something ?</td></tr></table>	[sound:lola-000148230-000151780.mp4]
Unzählige Fragen, die nach einer Antwort suchen.	Unzählige ___ die ___ ___ ___ suchen.	Unzählige <span class="learn">Fragen,</span> die <span class="learn">nach</span> <span class="learn">einer</span> <span class="learn">Antwort</span> suchen.	Innumerable questions looking for an answer .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Unzählige</td><td></td><td>countless</td></tr><tr><td>Fragen,</td><td></td><td>questions</td></tr><tr><td>die</td><td>that // the // these // this one // which // who </td><td>the</td></tr><tr><td>nach</td><td>according to // adapted from // after // as per // by  [according to] // following // going by [in accordance with] // in accordance with <IAW> // next to [at comparisons] // of  [taste, smell] // on // to // towards // under </td><td>after</td></tr><tr><td>einer</td><td>any [one of many] // a {indefinite article} [feminine indirect object] // of an [feminine genitive / dative object] // of a [feminine] // to one </td><td>one</td></tr><tr><td>Antwort</td><td></td><td>reply</td></tr><tr><td>suchen.</td><td>prospecting // questing // searching // seeking </td><td>Search .</td></tr></table>	[sound:lola-000151860-000155790.mp4]
Eine Antwort, die wieder eine neue Frage aufwerfen wird.	Eine ___ die ___ eine neue ___ aufwerfen ___	Eine <span class="learn">Antwort,</span> die <span class="learn">wieder</span> eine neue <span class="learn">Frage</span> aufwerfen <span class="learn">wird.</span>	A response that is again pose a new question.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Eine</td><td></td><td>one</td></tr><tr><td>Antwort,</td><td></td><td>reply</td></tr><tr><td>die</td><td>that // the // these // this one // which // who </td><td>the</td></tr><tr><td>wieder</td><td>afresh // again // once more  [again] </td><td>again</td></tr><tr><td>eine</td><td>any [one of many] // an [feminine subject / direct object] // one </td><td>one</td></tr><tr><td>neue</td><td></td><td>new</td></tr><tr><td>Frage</td><td></td><td>issue</td></tr><tr><td>aufwerfen</td><td></td><td>throw up</td></tr><tr><td>wird.</td><td></td><td>will .</td></tr></table>	[sound:lola-000155861-000160861.mp4]
Und die nächste Antwort wieder die nächste Frage und so weiter und so weiter...	Und die ___ ___ ___ die ___ ___ und so ___ und so ___	Und die <span class="learn">nächste</span> <span class="learn">Antwort</span> <span class="learn">wieder</span> die <span class="learn">nächste</span> <span class="learn">Frage</span> und so <span class="learn">weiter</span> und so <span class="learn">weiter...</span>	And the next response back the next question and so on and so on ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>die</td><td>that // the // these // this one // which // who </td><td>the</td></tr><tr><td>nächste</td><td>closest // nearest // next // proximate </td><td>closest</td></tr><tr><td>Antwort</td><td></td><td>reply</td></tr><tr><td>wieder</td><td>afresh // again // once more  [again] </td><td>again</td></tr><tr><td>die</td><td>that // the // these // this one // which // who </td><td>the</td></tr><tr><td>nächste</td><td>closest // nearest // next // proximate </td><td>closest</td></tr><tr><td>Frage</td><td></td><td>issue</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>weiter</td><td>along // broader // continuing // farther // forward // further // in addition // on // onward // onwards // wider </td><td>more</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>weiter...</td><td>any longer // any more // beyond // furthermore // further on // on </td><td>more ...</td></tr></table>	[sound:lola-000160931-000166701.mp4]
Doch ist es am Ende nicht immer wieder die gleiche Frage...	Doch ist es am ___ nicht ___ ___ die gleiche ___	Doch ist es am <span class="learn">Ende</span> nicht <span class="learn">immer</span> <span class="learn">wieder</span> die gleiche <span class="learn">Frage...</span>	But in the end it does not always have the same question ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Doch</td><td></td><td>yet</td></tr><tr><td>ist</td><td></td><td>is</td></tr><tr><td>es</td><td>it </td><td>it</td></tr><tr><td>am</td><td></td><td>on</td></tr><tr><td>Ende</td><td></td><td>end</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>immer</td><td>all along // always // alway [archaic] // aye  [Scot., N.Engl. and N. Ireland dialect: always] // azways [Jam.] // e'er [poet.] [ever] // ever // forever // invariably // throughout </td><td>always</td></tr><tr><td>wieder</td><td>afresh // again // once more  [again] </td><td>again</td></tr><tr><td>die</td><td>that // the // these // this one // which // who </td><td>the</td></tr><tr><td>gleiche</td><td></td><td>same</td></tr><tr><td>Frage...</td><td></td><td>Question ...</td></tr></table>	[sound:lola-000168172-000172982.mp4]
