	0-000014080
片名小城之春	000014080-000020487	[["片名", ["[pian1 ming2] movie title"]], ["小城", ["[xiao3 cheng2] small town"]], ["之", ["[zhi1] (possessive particle, literary equivalent of 的) / him / her / it"]], ["春", ["[Chun1] surname Chun", "[chun1] spring (time) / gay / joyful / youthful / love / lust / life"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["片", ["[pian1] disc / sheet", "[pian4] thin piece / flake / a slice / film / TV play / to slice / to carve thin / partial / incomplete / one-sided / classifier for slices, tablets, tract of land, area of water / classifier for CDs, movies, DVDs etc / used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc"]], ["名", ["[ming2] name / noun (part of speech) / place (e.g. among winners) / famous / classifier for people"]], ["小", ["[xiao3] small / tiny / few / young"]], ["城", ["[cheng2] city walls / city / town / CL:座[zuo4],道[dao4],個|个[ge4]"]]]
片名小城之春	000020487-000072705	[["片名", ["[pian1 ming2] movie title"]], ["小城", ["[xiao3 cheng2] small town"]], ["之", ["[zhi1] (possessive particle, literary equivalent of 的) / him / her / it"]], ["春", ["[Chun1] surname Chun", "[chun1] spring (time) / gay / joyful / youthful / love / lust / life"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["片", ["[pian1] disc / sheet", "[pian4] thin piece / flake / a slice / film / TV play / to slice / to carve thin / partial / incomplete / one-sided / classifier for slices, tablets, tract of land, area of water / classifier for CDs, movies, DVDs etc / used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc"]], ["名", ["[ming2] name / noun (part of speech) / place (e.g. among winners) / famous / classifier for people"]], ["小", ["[xiao3] small / tiny / few / young"]], ["城", ["[cheng2] city walls / city / town / CL:座[zuo4],道[dao4],個|个[ge4]"]]]
住在一个小城里边	000072705-000074974	[["住", ["[zhu4] to live / to dwell / to stay / to reside / to stop / (suffix indicating firmness, steadiness, or coming to a halt)"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["一", ["[yi1] one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / \"one\" radical in Chinese characters (Kangxi radical 1)"]], ["个", ["[ge4] individual / this / that / size / classifier for people or objects in general", "[ge4] variant of 個|个[ge4]"]], ["小城", ["[xiao3 cheng2] small town"]], ["里边", ["[li3 bian5] inside"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["小", ["[xiao3] small / tiny / few / young"]], ["城", ["[cheng2] city walls / city / town / CL:座[zuo4],道[dao4],個|个[ge4]"]], ["里", ["[li3] lining / interior / inside / internal / also written 裡|里[li3]", "[li3] lining / interior / inside / internal / also written 裏|里[li3]", "[Li3] Li (surname)", "[li3] li (Chinese mile) / 500 meters (modern) / home / hometown / village / neighborhood / administrative unit"]], ["边", ["[bian1] side / edge / margin / border / boundary / CL:個|个[ge4] / simultaneously", "[bian5] suffix of a noun of locality"]]]
每天过着没有变化的日子	000074974-000078078	[["每天", ["[mei3 tian1] every day / everyday"]], ["过", ["[Guo4] surname Guo", "[guo4] (experienced action marker) / to cross / to go over / to pass (time) / to celebrate (a holiday) / to live / to get along / excessively / too-"]], ["着", ["[zhao1] (chess) move / trick / all right! / (dialect) to add", "[zhao2] to touch / to come in contact with / to feel / to be affected by / to catch fire / to fall asleep / to burn", "[zhe5] aspect particle indicating action in progress", "[zhuo2] to wear (clothes) / to contact / to use / to apply"]], ["没有", ["[mei2 you3] haven't / hasn't / doesn't exist / to not have / to not be"]], ["变化", ["[bian4 hua4] change / variation / to change / to vary / CL:個|个[ge4]"]], ["的", ["[de5] of / ~'s (possessive particle) / (used after an attribute) / (used to form a nominal expression) / (used at the end of a declarative sentence for emphasis)", "[di2] really and truly", "[di4] aim / clear"]], ["日子", ["[ri4 zi5] day / a (calendar) date / days of one's life"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["每", ["[mei3] each / every"]], ["天", ["[tian1] day / sky / heaven"]], ["没", ["[mei2] (negative prefix for verbs) / have not / not", "[mo4] drowned / to end / to die / to inundate"]], ["有", ["[you3] to have / there is / there are / to exist / to be"]], ["变", ["[bian4] to change / to become different / to transform / to vary / rebellion"]], ["化", ["[hua1] variant of 花", "[hua4] to make into / to change into / -ization / to ... -ize / to transform / abbr. for 化學|化学[hua4 xue2]"]], ["日", ["[ri4] sun / day / date, day of the month / abbr. for 日本 Japan"]], ["子", ["[zi3] son / child / seed / egg / small thing / 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat / Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]", "[zi5] (noun suffix)"]]]
早晨买完了莱	000078078-000079646	[["早晨", ["[zao3 chen2] early morning / CL:個|个[ge4]"]], ["买", ["[mai3] to buy / to purchase"]], ["完", ["[wan2] to finish / to be over / whole / complete / entire"]], ["了", ["[le5] (modal particle intensifying preceding clause) / (completed action marker)", "[liao3] to finish / to achieve / to understand", "[liao3] (of eyes) bright / clear-sighted / to understand clearly"]], ["莱", ["[lai2] name of weed plant (fat hen, goosefoot, pigweed etc) / Chenopodium album"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["早", ["[zao3] early / morning / Good morning!"]], ["晨", ["[chen2] morning / dawn / daybreak"]]]
总喜欢到城墙上走一趟	000079646-000082515	[["总", ["[zong3] always / to assemble / gather / total / overall / head / chief / general / in every case"]], ["喜欢", ["[xi3 huan5] to like / to be fond of"]], ["到", ["[dao4] to (a place) / until (a time) / up to / to go / to arrive"]], ["城墙", ["[cheng2 qiang2] city wall"]], ["上", ["[shang3] see 上聲|上声[shang3 sheng1]", "[shang4] on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)"]], ["走", ["[zou3] to walk / to go / to run / to move (of vehicle) / to visit / to leave / to go away / to die (euph.) / from / through / away (in compound verbs, such as 撤走) / to change (shape, form, meaning)"]], ["一", ["[yi1] one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / \"one\" radical in Chinese characters (Kangxi radical 1)"]], ["趟", ["[tang1] to wade / to trample / to turn the soil", "[tang4] classifier for times, round trips or rows / a time / a trip"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["喜", ["[xi3] to be fond of / to like / to enjoy / to be happy / to feel pleased / happiness / delight / glad"]], ["欢", ["[huan1] joyous / happy / pleased"]], ["城", ["[cheng2] city walls / city / town / CL:座[zuo4],道[dao4],個|个[ge4]"]], ["墙", ["[qiang2] wall / CL:面[mian4],堵[du3]"]]]
总喜欢到城墙上走一趟	000082515-000090990	[["总", ["[zong3] always / to assemble / gather / total / overall / head / chief / general / in every case"]], ["喜欢", ["[xi3 huan5] to like / to be fond of"]], ["到", ["[dao4] to (a place) / until (a time) / up to / to go / to arrive"]], ["城墙", ["[cheng2 qiang2] city wall"]], ["上", ["[shang3] see 上聲|上声[shang3 sheng1]", "[shang4] on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)"]], ["走", ["[zou3] to walk / to go / to run / to move (of vehicle) / to visit / to leave / to go away / to die (euph.) / from / through / away (in compound verbs, such as 撤走) / to change (shape, form, meaning)"]], ["一", ["[yi1] one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / \"one\" radical in Chinese characters (Kangxi radical 1)"]], ["趟", ["[tang1] to wade / to trample / to turn the soil", "[tang4] classifier for times, round trips or rows / a time / a trip"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["喜", ["[xi3] to be fond of / to like / to enjoy / to be happy / to feel pleased / happiness / delight / glad"]], ["欢", ["[huan1] joyous / happy / pleased"]], ["城", ["[cheng2] city walls / city / town / CL:座[zuo4],道[dao4],個|个[ge4]"]], ["墙", ["[qiang2] wall / CL:面[mian4],堵[du3]"]]]
这在我已经成了习惯	000090990-000093793	[["这", ["[zhe4] this / these / (commonly pr. [zhei4] before a classifier, esp. in Beijing)"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["我", ["[wo3] I / me / my"]], ["已经", ["[yi3 jing1] already"]], ["成了", ["[cheng2 le5] to be done / to be ready / that's enough! / that will do!"]], ["习惯", ["[xi2 guan4] habit / custom / usual practice / to be used to / CL:個|个[ge4]"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["已", ["[yi3] already / to stop / then / afterwards"]], ["经", ["[Jing1] surname Jing", "[jing1] classics / sacred book / scripture / to pass through / to undergo / warp / longitude / abbr. for economics 經濟|经济[jing1 ji4]"]], ["成", ["[Cheng2] surname Cheng", "[cheng2] to succeed / to finish / to complete / to accomplish / to become / to turn into / to be all right / OK! / one tenth"]], ["了", ["[le5] (modal particle intensifying preceding clause) / (completed action marker)", "[liao3] to finish / to achieve / to understand", "[liao3] (of eyes) bright / clear-sighted / to understand clearly"]], ["习", ["[Xi2] surname Xi", "[xi2] to practice / to study / habit"]], ["惯", ["[guan4] accustomed to / used to / indulge / to spoil (a child)"]]]
人在城头上走着	000093793-000095829	[["人", ["[ren2] man / person / people / CL:個|个[ge4],位[wei4]"]], ["在", ["[zai4] (located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)"]], ["城", ["[cheng2] city walls / city / town / CL:座[zuo4],道[dao4],個|个[ge4]"]], ["头上", ["[tou2 shang4] overhead / above"]], ["走", ["[zou3] to walk / to go / to run / to move (of vehicle) / to visit / to leave / to go away / to die (euph.) / from / through / away (in compound verbs, such as 撤走) / to change (shape, form, meaning)"]], ["着", ["[zhao1] (chess) move / trick / all right! / (dialect) to add", "[zhao2] to touch / to come in contact with / to feel / to be affected by / to catch fire / to fall asleep / to burn", "[zhe5] aspect particle indicating action in progress", "[zhuo2] to wear (clothes) / to contact / to use / to apply"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["头", ["[tou2] head / hair style / the top / end / beginning or end / a stub / remnant / chief / boss / side / aspect / first / leading / classifier for pigs or livestock / CL:個|个[ge4]", "[tou5] suff. for nouns"]], ["上", ["[shang3] see 上聲|上声[shang3 sheng1]", "[shang4] on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)"]]]
就好象离开了这个世界	000095829-000098431	[["就", ["[jiu4] at once / right away / only / just (emphasis) / as early as / already / as soon as / then / in that case / as many as / even if / to approach / to move towards / to undertake / to engage in / to suffer / subjected to / to accomplish / to take advantage of / to go with (of foods) / with regard to / concerning"]], ["好象", ["[hao3 xiang4] seem / be like"]], ["离开", ["[li2 kai1] to depart / to leave"]], ["了", ["[le5] (modal particle intensifying preceding clause) / (completed action marker)", "[liao3] to finish / to achieve / to understand", "[liao3] (of eyes) bright / clear-sighted / to understand clearly"]], ["这个", ["[zhe4 ge5] this / this one"]], ["世界", ["[shi4 jie4] world / CL:個|个[ge4]"]], ["----------", ["Definitions for words above consisting of more than one character:"]], ["好", ["[hao3] good / well / proper / good to / easy to / very / so / (suffix indicating completion or readiness) / to be in love (e.g. 学姐，你跟他好了，就不怕代沟么？)", "[hao4] to be fond of / to have a tendency to / to be prone to"]], ["象", ["[xiang4] elephant / CL:隻|只[zhi1] / shape / form / appearance / to imitate"]], ["离", ["[li2] mythical beast (archaic)", "[Li2] surname Li", "[li2] to leave / to part from / to be away from / (in giving distances) from / without (sth) / independent of / one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire / ☲"]], ["开", ["[kai1] to open / to start / to turn on / to boil / to write out (a prescription, check, invoice etc) / to operate (vehicle) / abbr. for 開爾文|开尔文 degrees Kelvin"]], ["这", ["[zhe4] this / these / (commonly pr. [zhei4] before a classifier, esp. in Beijing)"]], ["个", ["[ge4] individual / this / that / size / classifier for people or objects in general", "[ge4] variant of 個|个[ge4]"]], ["世", ["[Shi4] surname Shi", "[shi4] life / age / generation / era / world / lifetime / epoch / descendant / noble"]], ["界", ["[jie4] boundary / scope / extent / circles / group / kingdom (taxonomy)"]]]
