○	ling2	character used in Taiwan as a substitute for a real name (like "X" in English) / variant of 〇[ling2]	li	(e)ng2	
一	yi1	one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / "one" radical in Chinese characters (Kangxi radical 1)	y	Ø1	
丁	ding1	surname Ding	di	(e)ng1	一亅
亅	jue2	"vertical stroke with hook" radical in Chinese characters (Kangxi radical 6) / see also 豎鉤|竖钩[shu4 gou1]	ju	e2	
丁	ding1	fourth of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / fourth in order / letter "D" or roman "IV" in list "A, B, C", or "I, II, III" etc / butyl / cubes (of food)	di	(e)ng1	一亅
丂	kao3	"breath" or "sigh" component in Chinese characters	k	ao3	
七	qi1	seven / 7	qi	Ø1	
丄	shang4	old variant of 上[shang4]	sh	ang4	
丅	xia4	old variant of 下[xia4]	xi	a4	
丆	xx5	one of the characters used in kwukyel (phonetic "myeon"), an ancient Korean writing system			
万	mo4	see 万俟[Mo4 qi2]	m	o4	
萬	wan4	surname Wan	w	an4	卄禺
万	wan4	surname Wan	w	an4	
卄	nian4	twenty, twentieth	ni	an4	一丩
丩	jiu1	archaic variant of 糾|纠[jiu1]	ji	ou1	丨
丨	gun3	radical in Chinese characters (Kangxi radical 2)	gu	(e)n3	
丨	shu4	see 豎筆|竖笔[shu4 bi3]	shu	Ø4	
禺	ou3	archaic variant of 偶[ou3]	Ø	ou3	甲禸
甲	jia3	first of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / (used for an unspecified person or thing) / first (in a list, as a party to a contract etc) / letter "A" or roman "I" in list "A, B, C", or "I, II, III" etc / armor plating / shell or carapace / (of the fingers or toes) nail / bladed leather or metal armor (old) / ranking system used in the Imperial examinations (old) / civil administration unit (old)	ji	a3	丨曰
曰	yue1	to speak / to say	yu	e1	
禸	rou2	trample	r	ou2	⺆厶
⺆					
厶	mou3	old variant of 某[mou3]	m	ou3	
厶	si1	old variant of 私[si1]	s	Ø1	
禺	yu2	ancient area	yu	Ø2	甲禸
禺	yu4	legendary monkey of ancient China	yu	Ø4	甲禸
萬	wan4	ten thousand / a great number	w	an4	卄禺
万	wan4	ten thousand / a great number	w	an4	
丈	zhang4	ten feet	zh	ang4	一乂
乂	yi4	to regulate / to govern / to control / to mow	y	Ø4	
三	san1	surname San	s	an1	一二
二	er4	two / 2 / (Beijing dialect) stupid	Ø	Ø4	
三	san1	three / 3	s	an1	一二
上	shang3	see 上聲|上声[shang3 sheng1]	sh	ang3	
上	shang4	on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)	sh	ang4	
下	xia4	down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action	xi	a4	一卜
卜	bu3	surname Bu	bu	Ø3	
卜	bu3	to divine / to forecast or estimate / (of a place to live etc) to choose	bu	Ø3	
蔔	bo5	see 蘿蔔|萝卜[luo2 bo5]	b	o5	匐卄
卜	bo5	see 蘿蔔|萝卜[luo2 bo5]	b	o5	
匐	fu2	to fall prostrate	fu	Ø2	勹畐
勹	bao1	archaic variant of 包[bao1]	b	ao1	
畐					一口田
丌	ji1	surname Ji	ji	Ø1	
丌	ji1	"pedestal" component in Chinese characters	ji	Ø1	
丌	qi2	archaic variant of 其[qi2]	qi	Ø2	
不	bu4	(negative prefix) / not / no	bu	Ø4	丆卜
與	yu2	variant of 歟|欤[yu2]	yu	Ø2	兒
与	yu2	variant of 歟|欤[yu2]	yu	Ø2	
兒					儿臼
與	yu3	and / to give / together with	yu	Ø3	兒
与	yu3	and / to give / together with	yu	Ø3	
與	yu4	to take part in	yu	Ø4	兒
与	yu4	to take part in	yu	Ø4	
丏	mian3	hidden from view / barrier to ward off arrows	mi	an3	
丐	gai4	to beg for alms / beggar	g	ai4	㇉下
㇉					
匃	gai4	variant of 丐[gai4]	g	ai4	亾勹
丐	gai4	variant of 丐[gai4]	g	ai4	㇉下
亾					乚人
匄	gai4	variant of 丐[gai4]	g	ai4	亡勹
丐	gai4	variant of 丐[gai4]	g	ai4	㇉下
亡	wang2	to die / to lose / to be gone / to flee / deceased	w	ang2	乚亠
乚	ya4	component in Chinese characters / archaic variant of 毫[hao2] / archaic variant of 乙[yi3]	y	a4	
亠	tou2	"lid" radical in Chinese characters (Kangxi radical 8)	t	ou2	
亾	wang2	old variant of 亡[wang2]	w	ang2	乚人
亡	wang2	old variant of 亡[wang2]	w	ang2	乚亠
人	ren2	man / person / people / CL:個|个[ge4],位[wei4]	r	(e)n2	
丑	chou3	surname Chou	ch	ou3	二刀
刀	dao1	surname Dao	d	ao1	
刀	dao1	knife / blade / single-edged sword / cutlass / CL:把[ba3] / classifier for sets of one hundred sheets (of paper) / (slang) dollar (loanword)	d	ao1	
丑	chou3	clown / 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox	ch	ou3	二刀
醜	chou3	shameful / ugly / disgraceful	ch	ou3	酉鬼
丑	chou3	shameful / ugly / disgraceful	ch	ou3	二刀
酉	you3	10th earthly branch: 5-7 p.m., 8th solar month (8th September-7th October), year of the Rooster	y	ou3	兀日
兀	wu4	surname Wu	w	Ø4	一儿
兒	er2	son	Ø	Ø2	儿臼
儿	er2	son	Ø	Ø2	
臼	jiu4	mortar	ji	ou4	
兒	r5	non-syllabic diminutive suffix / retroflex final			儿臼
儿	r5	non-syllabic diminutive suffix / retroflex final			
兀	wu4	cut off the feet / rising to a height / towering / bald	w	Ø4	一儿
日	ri4	abbr. for 日本[Ri4 ben3], Japan	r	Ø4	
日	ri4	sun / day / date, day of the month	r	Ø4	
鬼	gui3	ghost / sly / crafty / CL:個|个[ge4]	gu	ei3	儿厶甶
甶					丶田
丒	chou3	variant of 醜|丑[chou3]	ch	ou3	一刃
刃	ren4	edge of blade	r	(e)n4	丶刀
丶	zhu3	"dot" radical in Chinese characters (Kangxi radical 3) / see also 點|点[dian3]	zhu	Ø3	
專	zhuan1	for a particular person, occasion, purpose / focused on one thing / special / expert / particular (to sth) / concentrated / specialized	zhu	an1	寸車
专	zhuan1	for a particular person, occasion, purpose / focused on one thing / special / expert / particular (to sth) / concentrated / specialized	zhu	an1	
寸	cun4	a unit of length / inch / thumb	cu	(e)n4	
車					
耑	zhuan1	variant of 專|专[zhuan1]	zhu	an1	山而
专	zhuan1	variant of 專|专[zhuan1]	zhu	an1	
山	shan1	surname Shan	sh	an1	
山	shan1	mountain / hill / anything that resembles a mountain / CL:座[zuo4] / bundled straw in which silkworms spin cocoons / gable	sh	an1	
而	er2	and / as well as / and so / but (not) / yet (not) / (indicates causal relation) / (indicates change of state) / (indicates contrast)	Ø	Ø2	𦉫丆
𦉫					
且	qie3	and / moreover / yet / for the time being / to be about to / both (... and...)	qi	e3	
丕	pi1	grand	pi	Ø1	一不
世	shi4	surname Shi	sh	Ø4	
世	shi4	life / age / generation / era / world / lifetime / epoch / descendant / noble	sh	Ø4	
丗	shi4	archaic variant of 世[shi4]	sh	Ø4	
丘	qiu1	surname Qiu	qi	ou1	
丘	qiu1	mound / hillock / grave / classifier for fields	qi	ou1	
坵	qiu1	variant of 丘[qiu1] / hillock	qi	ou1	丘土
丘	qiu1	variant of 丘[qiu1] / hillock	qi	ou1	
土	tu3	Tu (ethnic group) / surname Tu	tu	Ø3	
土	tu3	earth / dust / clay / local / indigenous / crude opium / unsophisticated / one of the eight ancient musical instruments 八音[ba1 yin1]	tu	Ø3	
丙	bing3	third of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / third in order / letter "C" or roman "III" in list "A, B, C", or "I, II, III" etc / propyl	bi	(e)ng3	
業	ye4	surname Ye	y	e4	丵木
业	ye4	surname Ye	y	e4	
丵	zhuo2	thick grass / "bush" component in Chinese characters	zhu	o2	𢆉业
𢆉					
木	mu4	surname Mu	mu	Ø4	八十
八	ba1	eight / 8	b	a1	
十	shi2	ten / 10	sh	Ø2	
木	mu4	tree / wood / coffin / wooden / simple / numb / one of the eight ancient musical instruments 八音[ba1 yin1]	mu	Ø4	八十
業	ye4	line of business / industry / occupation / job / employment / school studies / enterprise / property / (Buddhism) karma / deed / to engage in / already	y	e4	丵木
业	ye4	line of business / industry / occupation / job / employment / school studies / enterprise / property / (Buddhism) karma / deed / to engage in / already	y	e4	
叢	cong2	cluster / collection / collection of books / thicket	cu	(e)ng2	业丷取干
丛	cong2	cluster / collection / collection of books / thicket	cu	(e)ng2	一人
丷	ba1	"eight" component in Chinese characters / archaic variant of 八[ba1]	b	a1	
丷	xx5	one of the characters used in kwukyel, an ancient Korean writing system			
